certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace Grands Crus,,Kanzlerberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Kanzlerberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kanzlerberg,Blanc,Muscat,AOC Alsace Grands Crus Kanzlerberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kanzlerberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kanzlerberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kastelberg,Blanc,Riesling,AOC Alsace Grands Crus Kastelberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kastelberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Kastelberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kastelberg,Blanc,Muscat,AOC Alsace Grands Crus Kastelberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kastelberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kastelberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kessler,Blanc,Riesling,AOC Alsace Grands Crus Kessler Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kessler,Blanc,Pinot Gris,AOC Alsace Grands Crus Kessler Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kessler,Blanc,Muscat,AOC Alsace Grands Crus Kessler Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kessler,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kessler Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Barr,Blanc,Riesling,AOC Alsace Grands Crus Kirchberg de Barr Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Barr,Blanc,Pinot Gris,AOC Alsace Grands Crus Kirchberg de Barr Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Barr,Blanc,Muscat,AOC Alsace Grands Crus Kirchberg de Barr Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Barr,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kirchberg de Barr Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Ribeauvillé,Blanc,Riesling,AOC Alsace Grands Crus Kirchberg de Ribeauvillé Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Ribeauvillé,Blanc,Pinot Gris,AOC Alsace Grands Crus Kirchberg de Ribeauvillé Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Ribeauvillé,Blanc,Muscat,AOC Alsace Grands Crus Kirchberg de Ribeauvillé Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kirchberg de Ribeauvillé,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kirchberg de Ribeauvillé Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kitterlé,Blanc,Riesling,AOC Alsace Grands Crus Kitterlé Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kitterlé,Blanc,Pinot Gris,AOC Alsace Grands Crus Kitterlé Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kitterlé,Blanc,Muscat,AOC Alsace Grands Crus Kitterlé Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Kitterlé,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kitterlé Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Mambourg,Blanc,Riesling,AOC Alsace Grands Crus Mambourg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Mambourg,Blanc,Pinot Gris,AOC Alsace Grands Crus Mambourg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Mambourg,Blanc,Muscat,AOC Alsace Grands Crus Mambourg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Mambourg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Mambourg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Mandelberg,Blanc,Riesling,AOC Alsace Grands Crus Mandelberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Mandelberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Mandelberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Mandelberg,Blanc,Muscat,AOC Alsace Grands Crus Mandelberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Mandelberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Mandelberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Marckrain,Blanc,Riesling,AOC Alsace Grands Crus Marckrain Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Marckrain,Blanc,Pinot Gris,AOC Alsace Grands Crus Marckrain Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Marckrain,Blanc,Muscat,AOC Alsace Grands Crus Marckrain Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Marckrain,Blanc,Gewurztraminer,AOC Alsace Grands Crus Marckrain Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Moenchberg,Blanc,Riesling,AOC Alsace Grands Crus Moenchberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Moenchberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Moenchberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Moenchberg,Blanc,Muscat,AOC Alsace Grands Crus Moenchberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Moenchberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Moenchberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Muenchberg,Blanc,Riesling,AOC Alsace Grands Crus Muenchberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Muenchberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Muenchberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Muenchberg,Blanc,Muscat,AOC Alsace Grands Crus Muenchberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Muenchberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Muenchberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Ollwiller,Blanc,Riesling,AOC Alsace Grands Crus Ollwiller Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Ollwiller,Blanc,Pinot Gris,AOC Alsace Grands Crus Ollwiller Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Ollwiller,Blanc,Muscat,AOC Alsace Grands Crus Ollwiller Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Ollwiller,Blanc,Gewurztraminer,AOC Alsace Grands Crus Ollwiller Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Osterberg,Blanc,Riesling,AOC Alsace Grands Crus Osterberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Osterberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Osterberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Osterberg,Blanc,Muscat,AOC Alsace Grands Crus Osterberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Osterberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Osterberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Pfersigberg,Blanc,Riesling,AOC Alsace Grands Crus Pfersigberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Pfersigberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Pfersigberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Pfersigberg,Blanc,Muscat,AOC Alsace Grands Crus Pfersigberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Pfersigberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Pfersigberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Pfingstberg,Blanc,Riesling,AOC Alsace Grands Crus Pfingstberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Pfingstberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Pfingstberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Pfingstberg,Blanc,Muscat,AOC Alsace Grands Crus Pfingstberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Pfingstberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Pfingstberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Praelatenberg,Blanc,Riesling,AOC Alsace Grands Crus Praelatenberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Praelatenberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Praelatenberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Praelatenberg,Blanc,Muscat,AOC Alsace Grands Crus Praelatenberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Praelatenberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Praelatenberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Rangen,Blanc,Riesling,AOC Alsace Grands Crus Rangen Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Rangen,Blanc,Pinot Gris,AOC Alsace Grands Crus Rangen Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Rangen,Blanc,Muscat,AOC Alsace Grands Crus Rangen Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Rangen,Blanc,Gewurztraminer,AOC Alsace Grands Crus Rangen Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Rosacker,Blanc,Riesling,AOC Alsace Grands Crus Rosacker Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Rosacker,Blanc,Pinot Gris,AOC Alsace Grands Crus Rosacker Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Rosacker,Blanc,Muscat,AOC Alsace Grands Crus Rosacker Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Rosacker,Blanc,Gewurztraminer,AOC Alsace Grands Crus Rosacker Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Saering,Blanc,Riesling,AOC Alsace Grands Crus Saering Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Saering,Blanc,Pinot Gris,AOC Alsace Grands Crus Saering Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Saering,Blanc,Muscat,AOC Alsace Grands Crus Saering Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Saering,Blanc,Gewurztraminer,AOC Alsace Grands Crus Saering Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Schlossberg,Blanc,Riesling,AOC Alsace Grands Crus Schlossberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Schlossberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Schlossberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Schlossberg,Blanc,Muscat,AOC Alsace Grands Crus Schlossberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Schlossberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Schlossberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Schoenenbourg,Blanc,Riesling,AOC Alsace Grands Crus Schoenenbourg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Schoenenbourg,Blanc,Pinot Gris,AOC Alsace Grands Crus Schoenenbourg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Schoenenbourg,Blanc,Muscat,AOC Alsace Grands Crus Schoenenbourg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Schoenenbourg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Schoenenbourg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Sommerberg,Blanc,Riesling,AOC Alsace Grands Crus Sommerberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Sommerberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Sommerberg Pinot Gris
